source_id,category,store_name,main_menu,price,road_address,district,latitude,longitude,image_url_1,image_url_2,image_url_3
1,KOREAN,국수전문점,잔치국수,5000.0,서울특별시 종로구 종로 246 (종로5가) 1층,종로구,37.5708386957387,127.005118978637,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/5b220b62-cd0d-4991-9675-fd37e9130bc4.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/15e4dc52-b518-47d8-820e-ab2a98980d87.jpeg,
2,KOREAN,금하낙지마당,낙지볶음,11000.0,서울특별시 종로구 종로35길 40 (효제동) 1층,종로구,37.5729596846722,127.003904828972,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/c32f4dae-93d6-4e50-801e-22e24273f6bc.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/1331f788-85c4-4a73-a4db-ba2bf916ce88.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/dd3fb608-ce30-4059-b400-fd2dbf7418ad.jpeg
3,KOREAN,꽃보다예쁜한미영꽃백숙,능이영계탕&찰밥,15000.0,서울특별시 종로구 창신길 18 (창신동) 1층,종로구,37.5723843287421,127.010817294838,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/1904e6cf-995a-40cc-b4b6-f483beb237ba.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/7c4b4cb6-6c66-4fa5-a327-cd518ea7571f.jpg,
4,CHINESE,남도식당,짜장면,3500.0,서울특별시 종로구 종로 374-1 (숭인동) 1층,종로구,37.5736893412123,127.019225031923,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/95ebea5d-45eb-443a-ae84-514885d22fd2.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/83addf55-b93c-4cc6-a4e9-b0911df0a722.jpg,
5,KOREAN,남원추어탕,추어탕,9000.0,서울특별시 종로구 율곡로30길 21 (종로6가) 1층,종로구,37.5720028594186,127.007096634467,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/d6e3c7ee-58ce-4202-9d78-1abdad85d1ca.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/46f79c27-0d66-44a4-b3f4-e132d6dee5c2.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/274d5405-f0dc-4f36-ad43-1143615a0877.jpg
6,KOREAN,눈나무집,김치말이국수,7000.0,서울특별시 종로구 삼청로 136-1 1층,종로구,37.5874914824006,126.98189944814,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/b27f087f-1f20-4f0b-99ff-616eeffe4fe9.png,,
7,WESTERN,돈까스보라,수제 돈까스,7000.0,서울특별시 종로구 대학로5길 5 (연건동),종로구,37.5781982996716,127.001695852612,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/5eaf97eb-6a65-4798-b2fa-85529a5fd380.png,,
8,KOREAN,동대문 한국통닭,통닭 1마리,4500.0,서울특별시 종로구 종로 304 (창신동) 1층,종로구,37.5716711229533,127.011537243548,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/bd2d29a7-4f7f-49ce-8e51-206d2782f559.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/0c99f88a-9ecc-4986-91a0-d249b6a61709.jpg,
9,KOREAN,동문식당,콩나물비빔밥,5000.0,서울특별시 종로구 종로 300-1 (창신동) 1층,종로구,37.5715889805158,127.011243709036,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/42c65bfe-6d42-40c9-8a94-48904f8f3995.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/60ef059d-351c-49f1-ad9f-b86286f797fd.jpg,
10,KOREAN,둘리분식,된장찌개,4000.0,서울특별시 종로구 창경궁로34길 15 (혜화동) 1층,종로구,37.5843250630596,127.001182552211,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/82a34846-bff9-474e-8c92-1bb32a0333a7.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/c7bcc07c-4f11-4e73-b2c6-6d3bddb8076d.jpg,
11,WESTERN,리브포나우,아라비아따,13500.0,서울특별시 종로구 새문안로5가길 28 (적선동) 지하1층 121호,종로구,37.574460196686,126.973597076089,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/de0a7a81-0985-4671-bdba-4a563382a029.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/0824ceb6-20c4-4bee-9fc4-21be30e4ffed.jpg,
12,KOREAN,마로화적,양념소갈비(180g),19500.0,서울특별시 종로구 성균관로16길 5 (명륜1가) 1층,종로구,37.5897176823622,126.998557623797,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/b8a07dd6-91ad-4257-8560-559e61908d77.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/c1888aa8-fcb1-4e04-91e9-40e5b5e21ffc.jpg,
13,KOREAN,만족김치삼겹살(만족숯불갈비),김치삼겹살(180g),15000.0,서울특별시 종로구 종로53길 7-2 1층,종로구,37.572952861839,127.013401276692,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/70a0a741-09b9-405d-98c8-9c2ba029752c.png,,
14,KOREAN,맛밥김밥전문점,돈가스,7500.0,서울특별시 종로구 창경궁로 269 (혜화동) 1층,종로구,37.5853421081725,127.000665725381,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/82065437-f02e-4950-a76e-a148fa358c01.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/46103c09-8a21-4868-9322-739a9232aa7a.jpg,
15,KOREAN,먹고갈래지고갈래,삼계탕,16000.0,서울특별시 종로구 수표로 117 (낙원동),종로구,37.5717755006791,126.988906023959,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/11c02cd1-b33e-42d9-b683-4aabf2c54c63.png,,
16,KOREAN,백제고기집,육회(500g),42000.0,서울특별시 종로구 종로35길 31 (효제동) 1층,종로구,37.5726136194676,127.003688034186,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/1c19fa05-cbb2-4892-bc7f-835bdcad0e77.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/8688fedd-8678-4e0f-b72a-1b44db376614.jpeg,
17,KOREAN,복코돼지,김치찌개(점심),8000.0,서울특별시 종로구 종로 232 (종로5가) 1층,종로구,37.5707627999585,127.00353275048,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/8900417b-3634-407c-a73e-e84a6fbc63c9.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/da0b359b-eb4f-40b4-86ec-77ee296e6b39.jpeg,
